task,question_name,value
Husbands and wives transfer,Q10maximizing_elaboration,As many and as few seem like the same general concept so I said yes because the goal is to make as few trips as possible.
Abstract grid task,Q10maximizing_elaboration,It's the opposite with performing the task in fewest clicks but it is the same general idea.
Recall videos,Q10maximizing_elaboration,"I take ""maximizing the score"" and ""answering as many correct as possible"" to say yes to this question"
Advertisement writing,Q10maximizing_elaboration,"there is a time limit but, doesn't seem very relevant"
"Wolf, goat and cabbage transfer",Q10maximizing_elaboration,Because you're trying to accomplish the task in as few trips as possible
To evacuate or not to evacuate,Q10maximizing_elaboration,"I assume my answer is correct as it would not require 'more' of anything, except luck maybe."
Search for Oil Task,Q10maximizing_elaboration,Memorizing your drill points and drilling in the actual game are both timed. 
Letters-to-numbers problems (cryptography),Q10maximizing_elaboration,IT's a timed task
Husbands and wives transfer,Q10maximizing_elaboration,as fewest trips
Husbands and wives transfer,Q10maximizing_elaboration,Because you're trying to accomplish the task in as few trips as possible
9 Dot Problem,Q10maximizing_elaboration,"Pretty confident on this one, even though they are fighting against the clock."
Recall images,Q10maximizing_elaboration,The memory game is timed
Estimating pages of a book,Q10maximizing_elaboration,"The way I understand it, the limiting factor is the time - work as quickly as [possible top get as closely as possible, so I said yes."
Recall videos,Q11optimizing_elaboration,"This one was hard, depending on definitions. There is one correct answer to each question, so in that sense the outcome is precise."
9 Dot Problem,Q11optimizing_elaboration,"Instructions say up to 4 lines, but it would take the full 4 lines to achieve the goal."
Allocating resources to programs,Q11optimizing_elaboration,"I took the precision as the $500,000 that must be allocated."
Search for Oil Task,Q11optimizing_elaboration,"goal is to find exact locations, not the number of exact locations"
To evacuate or not to evacuate,Q11optimizing_elaboration,"I took the goal as precise, to avoid the disaster."
Search for Oil Task,Q11optimizing_elaboration,"if they find all of 144 oil locations, that is precise"
Recall images,Q11optimizing_elaboration,"I think there is supposed to be ""precision"" in that the participants need to identify only the faces they've previously seen and avoid ""mis-identifying"" faces they haven't seen. "
Search for Oil Task,Q11optimizing_elaboration,I think because there isn't a set number to achieve the goal is just to outperform the others the answer to this one would be no.
Abstract grid task,Q11optimizing_elaboration,"There is an image that must be recreated, so I consider that a precise outcome."
Putting food into categories,Q11optimizing_elaboration,"I'm am wobbling on this one because of the word ""maximum"". I feel like there is an absolute goal, but the rest of the language of the goal does not speak to precision, so it appears as if there is not a known amount of categories"
Putting food into categories,Q13outcome_multip_elaboration,It feels like it is hard to know a precise number of subgroups prior.
"Wolf, goat and cabbage transfer",Q13outcome_multip_elaboration,there are a few different scenarios that will accomplish the task but not many
To evacuate or not to evacuate,Q13outcome_multip_elaboration,"I went back and forth on this one, I could see it going either way but if someone wants to avoid risk, the best solution might be evacuating even if a disaster does not strike."
Word completion given starting letter,Q13outcome_multip_elaboration,"I wasn't entirely clear if I should account for whether it is reasonable or not. There are only so many words in the English language, and so I finite numbr of words that start and end with 2 given letter. So there is a theoretical maximum number of words and with enough time time a group could get them all. But it is very unlikely, especially not in a reasonable time limit. So..."
To evacuate or not to evacuate,Q13outcome_multip_elaboration,There would be a 'best' solution but it wouldn't be know until afterwards.
Recall videos,Q13outcome_multip_elaboration,It's possible the questions could have more than one correct answer.
"Wolf, goat and cabbage transfer",Q13outcome_multip_elaboration,there are 2 solutions
Advertisement writing,Q13outcome_multip_elaboration,It's a judgment call and many offerings could be suitable.
Letters-to-numbers problems (cryptography),Q13outcome_multip_elaboration,Get to the answer in the fewest attempts
Wildcat Wells,Q13outcome_multip_elaboration,It really depends on what the mao shows you as to how you go about completing the task
Husbands and wives transfer,Q13outcome_multip_elaboration,Get to the answer in the fewest attempts
Putting food into categories,Q13outcome_multip_elaboration,"Again, this is a grey area because the word maximum is implying a known quantity, but also can refer to just ""as many as possible in time allowed"" I left it as a no because of this and the open question about abstract categories"
Recall images,Q13outcome_multip_elaboration,Remembering every item I would assume is the best outcome
Room assignment task,Q14sol_scheme_mul_elaboration,"There is an optimal arrangement, so a ""best"" way"
Advertisement writing,Q14sol_scheme_mul_elaboration,"hard to say, it could not applicable"
"Wolf, goat and cabbage transfer",Q14sol_scheme_mul_elaboration,There aren't a huge amount of way to do it but there's more than one
Search for Oil Task,Q14sol_scheme_mul_elaboration,each person will have their own way of remember points on the map with the best chance of finding oil
Recall videos,Q14sol_scheme_mul_elaboration,I feel like there could be different ways to pay attention to the video. I just don't know them all. 
Recall association,Q14sol_scheme_mul_elaboration,There are likely many different methods used to recall words.
Search for Oil Task,Q14sol_scheme_mul_elaboration,different places to click on map 
To evacuate or not to evacuate,Q14sol_scheme_mul_elaboration,"There is only one way of clicking a button, but more than one way of thinking about risk"
