task,html,github,path,script
Euclidean traveling salesperson,"<h2>Euclidean traveling salesperson</h2><br><h2>1. Set-Up</h2><p>Participants get a map with multiple cities, which are displayed as dots on the screen. These dots can be connected by different “paths” by clicking on two dots one after the other. For example, clicking on point A, then point B, would draw a “path” between A and B. All participants, who are working on individual screens, are shown a shared map of the cities and can click and interact with it simultaneously.</p><br><h2>2. Objective / Goal</h2><p>The goal is to find and select the precise shortest path through the cities within a fixed amount of time. This is the sequence of cities corresponding to the shortest possible path to traverse through all of the cities, forming a cycle (or loop). In other words, the participant should click through the dots in a sequence, thus drawing a path that touches every city exactly once, and the first city twice: you can think of it as a “traveling salesman” who visits each city on the map before returning to his home city. Imagine that the shortest path involves going from A, to B, to C, to D. In that example, the participant’s goal would be to find this path, and then click the cities in that order: A, B, C, D, A.</p><p>Participants are evaluated on how close the path they found was to the optimal shortest path. They will be able to see the length of the current path they found, but they will not be told that they have reached the optimum.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/1ee576644bfaee5f592166b550ed34db1428bc69,tasks/summaries/Euclidean traveling salesperson-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/9b619333338fff4384c50ada1ec782a52381a920
Moral Reasoning (Disciplinary Action Case),"<h2>Moral Reasoning (Disciplinary Action Case)</h2><br><h2>1. Set-Up</h2><p>Participants read a fictitious, controversial case in which a college basketball player bribed an instructor to change his grade on an exam in order to maintain his eligibility on the team.</p><p>Participants are also given a list of potential actions that the college could take in response, in which the student and/or instructor could be given a punishment or consequence. Examples include:</p><p>(1.) Lowering Student&#39;s Grade (2.) Student Suspension (3.) Punishment from Student&#39;s Basketball Team (4.) Instructor Punishment (5.) Preventing the Instructor from Getting Future Position and/or Promotion</p><p>These possible courses of action are further challenged by conflicting interests of the faculty, college administration, and the athletic department.</p><br><h2>2. Objective / Goal</h2><p>Although there is no right or wrong course of action among the options, the goal is to select one of the courses of action.</p><p>Participants had to try to make sense of the different stakeholders&#39; conflicting interests, get agreement from team members, and make a final choice about how to handle the disciplinary situation.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/edb737be2692b45c969a7d55443b1419b8a27f91,tasks/summaries/Moral Reasoning (Disciplinary Action Case)-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/9b619333338fff4384c50ada1ec782a52381a920
To evacuate or not to evacuate,"<h2>To evacuate or not to evacuate</h2><br><h2>1. Set-Up</h2><p>Participants read about a situation in which &#39;a disaster may or may not strike.&#39; They are given information about the risk level of the disaster, as well as a button to &ldquo;evacuate&rdquo; from the disaster. </p><p>Evacuating from the disaster costs money &mdash; participants lose half their bonus if they choose to evacuate. However, if they don&#39;t evacuate and the disaster happens, then they lose their entire bonus. Therefore, this task is about weighing up the different risks and rewards of clicking the &ldquo;evacuate&rdquo; button.</p><p>Participants only find out whether the disaster happened or not at the very end of the game. All participants are equally affected by the disaster, but they make their selection for evacuation individually.</p><br><h2>2. Objective / Goal</h2><p>The goal is to make a decision regarding whether or not to evacuate. Participants have a limited amount of time to make their decision.</p><p>Choosing NOT to evacuate means that there is high risk (you could get nothing), but potential for a high reward. On the other hand, choosing to evacuate has a low risk but a smaller reward.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/641ecc0c5f0cd7e57f990b7bc10b833b660f2311,tasks/summaries/To evacuate or not to evacuate-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/9b619333338fff4384c50ada1ec782a52381a920
Allocating resources to programs,"<h2>Allocating resources to programs</h2><br><h2>1. Set-Up</h2><p>Partipants are given a list of complex competing programs, along with details of those programs. All participants get a list with the same programs. For example, participants could receive the following list:</p><p>(1.) To purchase a new computer system for the county government in order to hold local taxes constant. (2.) To establish a community arts program featuring art, music, and dance programs for children and adults. (3.) To establish an additional shelter for the homeless in the community.</p><br><h2>2. Objective / Goal</h2><p>The goal is to collectively decide how to allocate $500,000 between three competing programs within the time limit. As each program is designed to appeal to personal values, there is no right, wrong, or optimal way of allocation, and the purpose of the task is to resolve different conflicts in people&#39;s values and interests.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/8a13990b67bb3d8e5efc243643b0b59a306e35e6,tasks/summaries/Allocating resources to programs-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/9b619333338fff4384c50ada1ec782a52381a920
Shopping plan,"<h2>Shopping plan</h2><br><h2>1. Set-Up</h2><p>Each participant has a grocery list and a map that shows distances and times between each grocery store, as well as a list of potential items to purchase and how many points they are worth.</p><br><h2>2. Objective / Goal</h2><p>Participants have to plan a shopping trip as though they were all residents of the same house sharing the same car. The goal is to purchase as many high-quality items as possible in a fixed amount of time, and to get the highest number of points by considering tradeoffs between price, quality, and driving time. Participants gain points for every item that they are able to plan to purchase. Getting anything less than the maximum number of points will lead to partial credit.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/26c52d545ff3c5beee6fc622a7b72fe2f5633fa6,tasks/summaries/Shopping plan-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/9b619333338fff4384c50ada1ec782a52381a920
Word completion given starting letter,"<h2>Word completion given starting letter</h2><br><h2>1. Set-Up</h2><p>Participants are given a starting letter and ending letter for words. For example, the start letter could be &ldquo;S&rdquo; and the end letter could be &ldquo;N.&rdquo; The starting and ending letters are selected such that there is always a nonzero set of English words that can be created.</p><br><h2>2. Objective / Goal</h2><p>The goal is to generate a list of valid English words using the starting and ending letter provided. Using the previous example, participants could be asked to generate words like &ldquo;SPIN,&rdquo; which starts with &ldquo;S&rdquo; and ends with &ldquo;N.&rdquo; Participants must generate the maximum number of valid words they can within a fixed amount of time. Nonvalid words will be rejected by the system.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/8ea9342a87412579fa804f337d0f75b1ba2902d7,tasks/summaries/Word completion given starting letter-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/9b619333338fff4384c50ada1ec782a52381a920
Graph coloring task,"<h2>Graph coloring task</h2><br><h2>1. Set-Up</h2><p>Participants are given one or more &ldquo;graph coloring problems&rdquo;. These are pictures of different topology/network graphs. </p><p>For context, these look like many different nodes (points), which are connected by various edges. Imagine, for example, a picture of a social network: each person in the network is a &ldquo;node,&rdquo; and each of their friends is an &ldquo;edge.&rdquo;</p><p>In this case, all participants have access to and can interact with a shared graph. Participants will also be given a limited set of colors, with a larger number of colors than the minimum required to complete the task successfully.</p><br><h2>2. Objective / Goal</h2><p>The goal is to use the colors given to &ldquo;color&rdquo; the entire network without conflicts. This means that participants need to assign each node in the graph a color, ensuring that no two connected nodes share the same color. Using our social network example, if Person A and Person B are friends (which means they are connected), they cannot be assigned the same color. Participants must successfully color all nodes and resolve all conflicts within a specified amount of time, or receive no credit.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/8668e1f05c81b8f8e0f44381e897442bed258d23,tasks/summaries/Graph coloring task-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/9b619333338fff4384c50ada1ec782a52381a920
Summarize Discussion,"<h2>Summarize Discussion</h2><br><h2>1. Set-Up</h2><p>For this task, participants are given an open-ended discussion statement about a specific topic. The statement may be a question like, &ldquo;what makes for success in our culture?&rdquo; or &ldquo;should birth control be made available to anyone without a prescription?&rdquo; Everyone in the same team gets the same question.</p><br><h2>2. Objective / Goal</h2><p>Participants are asked to talk about and submit a response to the discussion statement &mdash; that is, they need to turn in a written summary of their arguments or answers to the question given to them. (For example, &ldquo;Yes, birth control should be made available to anyone for three reasons, Number 1&hellip;&rdquo; or &ldquo;No, we should not make birth control available to everyone. You should need a prescription because &hellip;&rdquo;) If people disagree, the summary needs to resolve and synthesize the pros and cons.</p><p>Participants have a specific time limit for completing the writeup. They are graded on the quality of their final written summary.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/b9a451e13133e78d3cf691ee946f351cbf9df8e0,tasks/summaries/Summarize Discussion-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/9b619333338fff4384c50ada1ec782a52381a920
9 Dot Problem,"<h2>9 Dot Problem</h2><br><h2>1. Set-Up</h2><p>Participants are given a 3x3 grid of nine dots, which is shared by everyone completing the task.</p><br><h2>2. Objective / Goal</h2><p>Within a limited amount of time, participants must connect all nine dots (e.g., draw a line that passes through them) using no more than four lines, and may not retrace any lines.</p><p>Participants will be able to visually tell that they have successfully met these criteria. They are given full credit if they accomplish this task, and no credit if they fail.</p><p>An important note is that there is really only one &ldquo;correct&rdquo; answer to this question &mdash; that is, the way to connect the nine dots actually requires the participant to go &ldquo;outside&rdquo; the boundaries of the 3x3 grid, or else it cannot be done. The true goal of this task is to find this optimal answer. </p><p>Participants who do not think &ldquo;outside the box&rdquo; therefore usually have difficulty completing this task. Once they are shown that the answer involves going outside of the box, they usually have an &ldquo;aha&rdquo; moment and do well on the task in the future.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/310e683a350d63f825bb93b482fe3eea0b77906d,tasks/summaries/9 Dot Problem-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/9b619333338fff4384c50ada1ec782a52381a920
Estimating pages of a book,"<h2>Estimating pages of a book</h2><br><h2>1. Set-Up</h2><p>Participants see images of the page edges of a book.</p><br><h2>2. Objective / Goal</h2><p>The goal is to guess the exact number of pages that the book has, using only the image of the page edges. </p><p>Participants are rewarded for being as precise and as close to the true number of pages as possible. They get points proportional to how many pages &ldquo;off&rdquo; they were, corrected for the total number of pages in the book. For example, 10 pages wrong out of a 400-page book is a smaller error than 10 pages wrong out of a 50-page book. Participants are not told if their judgment is exactly correct. Finally, participants have a limited amount of time to make their judgment.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/270ff70411e741cdaa06c1e36df92e47da0e44cb,tasks/summaries/Estimating pages of a book-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/9b619333338fff4384c50ada1ec782a52381a920
